--- Running testcase sched_jitter  ---
Thu May 16 11:41:51 CEST 2019
Logging to /home/iocuser/projects/e3-tools/rt_conf/ltp/testcases/realtime/logs/mcag-epics9-x86_64-3.10.0-957.12.1.rt56.927.el7.x86_64-2019-05-16-sched_jitter.log
delta: 40855038 ns
delta: 40850888 ns
delta: 40823804 ns
delta: 40841329 ns
delta: 40843639 ns
delta: 40788514 ns
delta: 40845038 ns
delta: 40853378 ns
delta: 40831827 ns
delta: 40835471 ns
delta: 40832767 ns
delta: 40800127 ns
delta: 40851261 ns
delta: 40851936 ns
delta: 40811233 ns
delta: 40833829 ns
delta: 40824764 ns
delta: 40787830 ns
delta: 40847834 ns
delta: 40844611 ns
delta: 40849299 ns
delta: 40840715 ns
delta: 40839810 ns
delta: 40797549 ns
delta: 40800983 ns
delta: 40835985 ns
delta: 40849369 ns
delta: 40848492 ns
delta: 40851105 ns
delta: 40825473 ns
delta: 40811278 ns
delta: 40838739 ns
delta: 40829960 ns
delta: 40843687 ns
delta: 40844275 ns
delta: 40823706 ns
delta: 40813178 ns
delta: 40849565 ns
delta: 40822844 ns
delta: 40850361 ns
delta: 40841788 ns
delta: 40840716 ns
delta: 40794653 ns
delta: 40832984 ns
delta: 40830815 ns
delta: 40847322 ns
delta: 40843693 ns
delta: 40831726 ns
delta: 40794680 ns
delta: 40841310 ns
delta: 40837156 ns
delta: 40857313 ns
delta: 40859622 ns
delta: 40832260 ns
delta: 40789398 ns
delta: 40853624 ns
delta: 40840315 ns
delta: 40832215 ns
delta: 40833872 ns
delta: 40843263 ns
delta: 40797441 ns
delta: 40840724 ns
delta: 40841756 ns
delta: 40831423 ns
delta: 40831557 ns
delta: 40831772 ns
delta: 40806303 ns
delta: 40837930 ns
delta: 40832106 ns
delta: 40835650 ns
delta: 40847644 ns
delta: 40842351 ns
delta: 40788901 ns
delta: 40863676 ns
delta: 40845529 ns
delta: 40852965 ns
delta: 40834400 ns
delta: 40858158 ns
delta: 40853648 ns
delta: 40787306 ns
delta: 40842207 ns
delta: 40843924 ns
delta: 40862210 ns
delta: 40853810 ns
delta: 40857531 ns
delta: 40819571 ns
delta: 40846818 ns
delta: 40837968 ns
delta: 40856208 ns
delta: 40849634 ns
delta: 40849934 ns
delta: 40851327 ns
delta: 40789114 ns
delta: 40840758 ns
delta: 40856779 ns
delta: 40860105 ns
delta: 40843757 ns
delta: 40837533 ns
delta: 40792074 ns
delta: 40820024 ns
delta: 40838781 ns
delta: 40839554 ns
delta: 40845417 ns
delta: 40833133 ns
delta: 40788111 ns
delta: 40855564 ns
delta: 40830934 ns
delta: 40838800 ns
delta: 40852458 ns
delta: 40872167 ns
delta: 40801331 ns
delta: 40799668 ns
delta: 40829930 ns
delta: 40854973 ns
delta: 40816387 ns
delta: 40838365 ns
delta: 40803022 ns
delta: 40841836 ns
delta: 40846723 ns
delta: 40831979 ns
delta: 40830470 ns
delta: 40854830 ns
delta: 40830455 ns
delta: 40813525 ns
delta: 40812455 ns
delta: 40848430 ns
delta: 40836878 ns
delta: 40837181 ns
delta: 40823473 ns
delta: 40821712 ns
delta: 40841501 ns
delta: 40859320 ns
delta: 40838948 ns
delta: 40828224 ns
delta: 40828108 ns
delta: 40805965 ns
delta: 40825590 ns
delta: 40841495 ns
delta: 40845655 ns
delta: 40843833 ns
delta: 40846280 ns
delta: 40780105 ns
delta: 40856347 ns
delta: 40847414 ns
delta: 40852555 ns
delta: 40846748 ns
delta: 40845675 ns
delta: 40782189 ns
delta: 40852264 ns
delta: 40836574 ns
delta: 40827007 ns
delta: 40850743 ns
delta: 40834046 ns
delta: 40842178 ns
delta: 40855595 ns
delta: 40856645 ns
delta: 40849519 ns
delta: 40850591 ns
delta: 40840667 ns
delta: 40833924 ns
delta: 40792917 ns
delta: 40825660 ns
delta: 40821987 ns
delta: 40833909 ns
delta: 40838735 ns
delta: 40846721 ns
delta: 40803800 ns
delta: 40854233 ns
delta: 40841977 ns
delta: 40846269 ns
delta: 40857242 ns
delta: 40847294 ns
delta: 40797113 ns
delta: 40783696 ns
delta: 40845155 ns
delta: 40825425 ns
delta: 40828896 ns
delta: 40838289 ns
delta: 40774787 ns
delta: 40829421 ns
delta: 40833524 ns
delta: 40836556 ns
delta: 40821742 ns
delta: 40822856 ns
delta: 40782610 ns
delta: 40841147 ns
delta: 40833384 ns
delta: 40823481 ns
delta: 40823656 ns
delta: 40855213 ns
delta: 40766574 ns
delta: 40820649 ns
delta: 40842511 ns
delta: 40843404 ns
delta: 40824627 ns
delta: 40771597 ns
delta: 40856458 ns
delta: 40813796 ns
delta: 40833631 ns
delta: 40825796 ns
delta: 40851109 ns
delta: 40803828 ns
delta: 40867937 ns
delta: 40912914 ns
delta: 40873194 ns
delta: 40869580 ns
delta: 40880297 ns
delta: 40860112 ns
delta: 40867683 ns
delta: 40816293 ns
delta: 40857766 ns
delta: 40857042 ns
delta: 40832380 ns
delta: 40845055 ns
delta: 40852206 ns
delta: 40828760 ns
delta: 41226058 ns
delta: 40829022 ns
delta: 40800031 ns
delta: 40846800 ns
delta: 40858075 ns
delta: 40849689 ns
delta: 40835172 ns
delta: 40848489 ns
delta: 40804574 ns
delta: 40854085 ns
delta: 40853490 ns
delta: 40838135 ns
delta: 40839296 ns
delta: 40845545 ns
delta: 40845504 ns
delta: 40798213 ns
delta: 40848449 ns
delta: 40845348 ns
delta: 40845286 ns
delta: 40844431 ns
delta: 40855392 ns
delta: 40796548 ns
delta: 40830802 ns
delta: 40852171 ns
delta: 40841052 ns
delta: 40838579 ns
delta: 40846346 ns
delta: 40807721 ns
delta: 40836087 ns
delta: 40831117 ns
delta: 40837135 ns
delta: 40847644 ns
delta: 40843547 ns
delta: 40794712 ns
delta: 40850604 ns
delta: 40870508 ns
delta: 40843197 ns
delta: 40833492 ns
delta: 40853900 ns
delta: 40844801 ns
delta: 40790734 ns
delta: 40848382 ns
delta: 40833831 ns
delta: 40833235 ns
delta: 40841123 ns
delta: 40846221 ns
delta: 40790217 ns
delta: 40845617 ns
delta: 40836884 ns
delta: 40843082 ns
delta: 40858542 ns
delta: 40809120 ns
delta: 40785002 ns
delta: 40825552 ns
delta: 40838804 ns
delta: 40858674 ns
delta: 40842884 ns
delta: 40839047 ns
delta: 40788979 ns
delta: 40832864 ns
delta: 40858261 ns
delta: 40847325 ns
delta: 40838616 ns
delta: 40851273 ns
delta: 40795400 ns
delta: 40831585 ns
delta: 40835502 ns
delta: 40839812 ns
delta: 40834425 ns
delta: 40839320 ns
delta: 40799498 ns
delta: 40841720 ns
delta: 40829882 ns
delta: 40823268 ns
delta: 40848690 ns
delta: 40850071 ns
delta: 40790497 ns
delta: 40833775 ns
delta: 40843155 ns
delta: 40849882 ns
delta: 40851708 ns
delta: 40845976 ns
delta: 40837527 ns
delta: 40805799 ns
delta: 40842295 ns
delta: 40855996 ns
delta: 40849445 ns
delta: 40833974 ns
delta: 40840257 ns
delta: 40800302 ns
delta: 40857815 ns
delta: 40851065 ns
delta: 40852622 ns
delta: 40856798 ns
delta: 40841573 ns
delta: 40806088 ns
delta: 40847248 ns
delta: 40843013 ns
delta: 40846997 ns
delta: 40851258 ns
delta: 40829363 ns
delta: 40806457 ns
delta: 40797834 ns
delta: 40844462 ns
delta: 40820411 ns
delta: 40827633 ns
delta: 40834225 ns
delta: 40784608 ns
delta: 40835347 ns
delta: 40841992 ns
delta: 40837166 ns
delta: 40854577 ns
delta: 40839843 ns
delta: 40802546 ns
delta: 40821396 ns
delta: 40859377 ns
delta: 40840826 ns
delta: 40845345 ns
delta: 40841376 ns
delta: 40847281 ns
delta: 40805257 ns
delta: 40859327 ns
delta: 40863238 ns
delta: 40848565 ns
delta: 40840556 ns
delta: 40850215 ns
delta: 40780202 ns
delta: 40839107 ns
delta: 40849892 ns
delta: 40849934 ns
delta: 40847489 ns
delta: 40844222 ns
delta: 40852608 ns
delta: 40801013 ns
delta: 40841316 ns
delta: 40826534 ns
delta: 40824858 ns
delta: 40836912 ns
delta: 40819235 ns
delta: 40803996 ns
delta: 40838600 ns
delta: 40848246 ns
delta: 40840227 ns
delta: 40842275 ns
delta: 40804941 ns
delta: 40805109 ns
delta: 40830516 ns
delta: 40828497 ns
delta: 40818325 ns
delta: 40825692 ns
delta: 40777983 ns
delta: 40809935 ns
delta: 40820921 ns
delta: 40831597 ns
delta: 40834232 ns
delta: 40839120 ns
delta: 40800580 ns
delta: 40846496 ns
delta: 40828324 ns
delta: 40813605 ns
delta: 40819279 ns
delta: 40850941 ns
delta: 40788033 ns
delta: 40845710 ns
delta: 40833128 ns
delta: 40842747 ns
delta: 40839528 ns
delta: 40844363 ns
delta: 40798730 ns
delta: 40849022 ns
delta: 40850595 ns
delta: 40856274 ns
delta: 40854968 ns
delta: 40841059 ns
delta: 40791541 ns
delta: 40837006 ns
delta: 40825117 ns
delta: 40840300 ns
delta: 40834019 ns
delta: 40840523 ns
delta: 40788220 ns
delta: 40820817 ns
delta: 40836336 ns
delta: 40850173 ns
delta: 40833294 ns
delta: 40825954 ns
delta: 40785286 ns
delta: 40831370 ns
delta: 40837021 ns
delta: 40845069 ns
delta: 40839530 ns
delta: 40837081 ns
delta: 40781985 ns
delta: 40831650 ns
delta: 40847731 ns
delta: 40837390 ns
delta: 40823717 ns
delta: 40844034 ns
delta: 40783456 ns
delta: 40855185 ns
delta: 40848531 ns
delta: 40864407 ns
delta: 40837697 ns
delta: 40819947 ns
delta: 40787759 ns
delta: 40833096 ns
delta: 40825191 ns
delta: 40817211 ns
delta: 40843061 ns
delta: 40842884 ns
delta: 40787407 ns
delta: 40835784 ns
delta: 40855459 ns
delta: 40835854 ns
delta: 40821396 ns
delta: 40833482 ns
delta: 40999958 ns
delta: 40783111 ns
delta: 40834185 ns
delta: 40855932 ns
delta: 40836922 ns
delta: 40834958 ns
delta: 40858677 ns
delta: 40772510 ns
delta: 40817680 ns
delta: 40814876 ns
delta: 40818056 ns
delta: 40828207 ns
delta: 40818625 ns
delta: 40797085 ns
delta: 40842934 ns
delta: 40864389 ns
delta: 40846599 ns
delta: 40845051 ns
delta: 40808853 ns
delta: 40819418 ns
delta: 40819670 ns
delta: 40840776 ns
delta: 40831846 ns
delta: 40830760 ns
delta: 40820261 ns
delta: 40805577 ns
delta: 40837243 ns
delta: 40831021 ns
delta: 40847273 ns
delta: 40849157 ns
delta: 40818424 ns
delta: 40802362 ns
delta: 40869068 ns
