--- Running testcase sched_jitter  ---
Mon Jun 10 13:56:00 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/icslab-mtca-daq02-x86_64-3.10.0-957.12.2.rt56.929.el7.x86_64-2019-06-10-sched_jitter.log
delta: 93391673 ns
delta: 93249447 ns
delta: 94063258 ns
delta: 96027749 ns
delta: 96037276 ns
delta: 95987254 ns
delta: 95946400 ns
delta: 96079214 ns
delta: 95899761 ns
delta: 95744920 ns
delta: 95992056 ns
delta: 96134075 ns
delta: 96217897 ns
delta: 96192271 ns
delta: 95963540 ns
delta: 95909844 ns
delta: 95652631 ns
delta: 95889170 ns
delta: 96163817 ns
delta: 95924186 ns
delta: 96399755 ns
delta: 96405009 ns
delta: 95841642 ns
delta: 96105267 ns
delta: 96281455 ns
delta: 97421800 ns
delta: 97477759 ns
delta: 97379908 ns
delta: 97354418 ns
delta: 97522868 ns
delta: 97414966 ns
delta: 97289880 ns
delta: 97295598 ns
delta: 97548668 ns
delta: 97321048 ns
delta: 97445449 ns
delta: 97377937 ns
delta: 97642572 ns
delta: 97473955 ns
delta: 97507396 ns
delta: 97194061 ns
delta: 97742483 ns
delta: 97229896 ns
delta: 97429420 ns
delta: 97326492 ns
delta: 97515026 ns
delta: 97431579 ns
delta: 97306137 ns
delta: 97369281 ns
delta: 97454657 ns
delta: 98271181 ns
delta: 100829744 ns
delta: 100559965 ns
delta: 101026895 ns
delta: 100560078 ns
delta: 100681489 ns
delta: 100701772 ns
delta: 100695376 ns
delta: 100773885 ns
delta: 100985477 ns
delta: 100754297 ns
delta: 100748121 ns
delta: 100893664 ns
delta: 100672532 ns
delta: 100636810 ns
delta: 100504161 ns
delta: 100721024 ns
delta: 100778358 ns
delta: 100671981 ns
delta: 100522037 ns
delta: 100659475 ns
delta: 100749155 ns
delta: 100746779 ns
delta: 101209589 ns
delta: 100401707 ns
delta: 100682654 ns
delta: 100610609 ns
delta: 101034209 ns
delta: 100811344 ns
delta: 100722016 ns
delta: 100805217 ns
delta: 100938644 ns
delta: 100976724 ns
delta: 100906090 ns
delta: 100757929 ns
delta: 100984956 ns
delta: 100603153 ns
delta: 100806302 ns
delta: 100748049 ns
delta: 100868539 ns
delta: 100860312 ns
delta: 100892885 ns
delta: 100738952 ns
delta: 100861550 ns
delta: 102713429 ns
delta: 104543495 ns
delta: 104444447 ns
delta: 104460893 ns
delta: 104554670 ns
delta: 104610414 ns
delta: 104461740 ns
delta: 104496342 ns
delta: 104418348 ns
delta: 104329596 ns
delta: 104679646 ns
delta: 104536622 ns
delta: 104490016 ns
delta: 104400010 ns
delta: 104685120 ns
delta: 104478776 ns
delta: 104515254 ns
delta: 104564019 ns
delta: 104825255 ns
delta: 104530247 ns
delta: 104456836 ns
delta: 104482435 ns
delta: 104369701 ns
delta: 104541609 ns
delta: 104608813 ns
delta: 104460965 ns
delta: 104390920 ns
delta: 104357291 ns
delta: 104573064 ns
delta: 104384087 ns
delta: 104414513 ns
delta: 104540584 ns
delta: 104336758 ns
delta: 104419500 ns
delta: 104313557 ns
delta: 105983256 ns
delta: 104639976 ns
delta: 104657155 ns
delta: 104491067 ns
delta: 104508761 ns
delta: 104415354 ns
delta: 104770243 ns
delta: 104540501 ns
delta: 104358813 ns
delta: 104422813 ns
delta: 104477542 ns
delta: 104454032 ns
delta: 104441339 ns
delta: 104338758 ns
delta: 104472572 ns
delta: 104632830 ns
delta: 104460106 ns
delta: 104437954 ns
delta: 104103663 ns
delta: 104366776 ns
delta: 104554032 ns
delta: 104557257 ns
delta: 104503422 ns
delta: 104518028 ns
delta: 104453100 ns
delta: 104208863 ns
delta: 104400231 ns
delta: 104324147 ns
delta: 104420228 ns
delta: 104502611 ns
delta: 104516989 ns
delta: 104728923 ns
delta: 104546167 ns
delta: 104353161 ns
delta: 104620520 ns
delta: 104316907 ns
delta: 104458790 ns
delta: 104133979 ns
delta: 104338898 ns
delta: 104342723 ns
delta: 104888404 ns
delta: 104562865 ns
delta: 104602014 ns
delta: 104339289 ns
delta: 104557582 ns
delta: 104149872 ns
delta: 104509695 ns
delta: 104311023 ns
delta: 104500676 ns
delta: 104181194 ns
delta: 104613344 ns
delta: 104314205 ns
delta: 104473947 ns
delta: 104595664 ns
delta: 104290332 ns
delta: 104598057 ns
delta: 104522251 ns
delta: 104378612 ns
delta: 104810241 ns
delta: 104568062 ns
delta: 104477349 ns
delta: 104272349 ns
delta: 104285249 ns
delta: 104485000 ns
delta: 104249298 ns
delta: 104412896 ns
delta: 104386470 ns
delta: 104586312 ns
delta: 104372226 ns
delta: 104351574 ns
delta: 104225920 ns
delta: 104464167 ns
delta: 104328501 ns
delta: 104515142 ns
delta: 104526930 ns
delta: 104421959 ns
delta: 104475528 ns
delta: 104890385 ns
delta: 104408474 ns
delta: 171089299 ns
delta: 118141227 ns
delta: 104388146 ns
delta: 104320250 ns
delta: 104258460 ns
delta: 104549889 ns
delta: 105622962 ns
delta: 107111798 ns
delta: 106913390 ns
delta: 106697591 ns
delta: 106628382 ns
delta: 106877131 ns
delta: 106668546 ns
delta: 106377891 ns
delta: 106735038 ns
delta: 106573235 ns
delta: 107083027 ns
delta: 106303603 ns
delta: 107175787 ns
delta: 106977633 ns
delta: 106557207 ns
delta: 106228284 ns
delta: 105812219 ns
delta: 106167649 ns
delta: 106290329 ns
delta: 105990163 ns
delta: 106118874 ns
delta: 106152230 ns
delta: 106305184 ns
delta: 106185152 ns
delta: 106206377 ns
delta: 106402834 ns
delta: 106286127 ns
delta: 106359114 ns
delta: 106332778 ns
delta: 106166702 ns
delta: 106544159 ns
delta: 106752885 ns
delta: 105971325 ns
delta: 106308076 ns
delta: 106517990 ns
delta: 106393840 ns
delta: 106038758 ns
delta: 106426799 ns
delta: 107146460 ns
delta: 107325890 ns
delta: 106662629 ns
delta: 106723012 ns
delta: 106696630 ns
delta: 106208906 ns
delta: 106229670 ns
delta: 106298396 ns
delta: 106645992 ns
delta: 106801894 ns
delta: 107410985 ns
delta: 106983664 ns
delta: 107096364 ns
delta: 107141474 ns
delta: 106969529 ns
delta: 106023776 ns
delta: 106186837 ns
delta: 106389615 ns
delta: 106285769 ns
delta: 106348716 ns
delta: 106206524 ns
delta: 106456923 ns
delta: 106151107 ns
delta: 106118149 ns
delta: 106269540 ns
delta: 106447761 ns
delta: 106169385 ns
delta: 106021784 ns
delta: 106149387 ns
delta: 106573972 ns
delta: 107974790 ns
delta: 107181563 ns
delta: 106586933 ns
delta: 107104908 ns
delta: 106868964 ns
delta: 106556865 ns
delta: 106372464 ns
delta: 106905591 ns
delta: 106757046 ns
delta: 107090792 ns
delta: 106783235 ns
delta: 106983424 ns
delta: 106746814 ns
delta: 106748708 ns
delta: 106561288 ns
delta: 106958045 ns
delta: 106769554 ns
delta: 106928118 ns
delta: 106559268 ns
delta: 106816595 ns
delta: 106034283 ns
delta: 106354105 ns
delta: 106459045 ns
delta: 106293826 ns
delta: 106122509 ns
delta: 106424180 ns
delta: 106274390 ns
delta: 106550540 ns
delta: 106351547 ns
delta: 106339717 ns
delta: 107863623 ns
delta: 108179069 ns
delta: 106607699 ns
delta: 106542395 ns
delta: 106382039 ns
delta: 106346610 ns
delta: 106487872 ns
delta: 107183290 ns
delta: 107262808 ns
delta: 106710536 ns
delta: 106943829 ns
delta: 107035604 ns
delta: 106583124 ns
delta: 106316464 ns
delta: 107011398 ns
delta: 106927807 ns
delta: 106823913 ns
delta: 106864942 ns
delta: 107460783 ns
delta: 106758143 ns
delta: 106989496 ns
delta: 106599909 ns
delta: 107020091 ns
delta: 107029000 ns
delta: 107027908 ns
delta: 107029949 ns
delta: 108505651 ns
delta: 107194734 ns
delta: 107367681 ns
delta: 106271122 ns
delta: 106795336 ns
delta: 107129548 ns
delta: 107375448 ns
delta: 107000592 ns
delta: 106991212 ns
delta: 107732388 ns
delta: 107601055 ns
delta: 107275333 ns
delta: 106897567 ns
delta: 107256549 ns
delta: 107489722 ns
delta: 106728406 ns
delta: 107529617 ns
delta: 107264006 ns
delta: 106918819 ns
delta: 106899005 ns
delta: 106148142 ns
delta: 106108864 ns
delta: 106313779 ns
delta: 106111362 ns
delta: 106137254 ns
delta: 106430084 ns
delta: 106393400 ns
delta: 106370480 ns
delta: 105984020 ns
delta: 106680598 ns
delta: 106683781 ns
delta: 106725386 ns
delta: 106210225 ns
delta: 106408153 ns
delta: 106692348 ns
delta: 106294926 ns
delta: 106298645 ns
delta: 106136708 ns
delta: 107129506 ns
delta: 106905350 ns
delta: 106354934 ns
delta: 107174534 ns
delta: 106682500 ns
delta: 106416733 ns
delta: 106038153 ns
delta: 106183652 ns
delta: 106824385 ns
delta: 106373338 ns
delta: 106254312 ns
delta: 106228105 ns
delta: 106517641 ns
delta: 106283411 ns
delta: 106698328 ns
delta: 106271710 ns
delta: 106758941 ns
delta: 106403642 ns
delta: 106826370 ns
delta: 107102006 ns
delta: 106769451 ns
delta: 106595849 ns
delta: 106941644 ns
delta: 106400986 ns
delta: 106532566 ns
delta: 106349439 ns
delta: 106698773 ns
delta: 106388872 ns
delta: 106799073 ns
delta: 106729594 ns
delta: 106566176 ns
delta: 106317554 ns
delta: 106377975 ns
delta: 106408355 ns
delta: 106912731 ns
delta: 106638780 ns
delta: 106132809 ns
delta: 108015845 ns
delta: 108429132 ns
delta: 108554023 ns
delta: 108469832 ns
