--- Running testcase sched_jitter  ---
Thu May 16 11:32:53 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/ip7-21-x86_64-4.9.0-9-rt-amd64-2019-05-16-sched_jitter.log
delta: 220092448 ns
delta: 217520173 ns
delta: 219193401 ns
delta: 218331451 ns
delta: 219452049 ns
delta: 218765075 ns
delta: 216021193 ns
delta: 215730209 ns
delta: 217446948 ns
delta: 217778478 ns
delta: 218531827 ns
delta: 219586943 ns
delta: 219006917 ns
delta: 221256257 ns
delta: 217978379 ns
delta: 219247202 ns
delta: 217847212 ns
delta: 218474636 ns
delta: 220320282 ns
delta: 218874023 ns
delta: 219769093 ns
delta: 216279348 ns
delta: 220113388 ns
delta: 220661126 ns
delta: 218858778 ns
delta: 218678084 ns
delta: 216885904 ns
delta: 219348394 ns
delta: 220827592 ns
delta: 215763587 ns
delta: 217940759 ns
delta: 218827706 ns
delta: 215587182 ns
delta: 218404420 ns
delta: 218820821 ns
delta: 219730036 ns
delta: 217769696 ns
delta: 219764160 ns
delta: 219933599 ns
delta: 220206836 ns
delta: 216936626 ns
delta: 217806188 ns
delta: 219976333 ns
delta: 218908427 ns
delta: 218009036 ns
delta: 219110153 ns
delta: 220287378 ns
delta: 219042458 ns
delta: 214469667 ns
delta: 218380892 ns
delta: 219628332 ns
delta: 216270071 ns
delta: 217255465 ns
delta: 216001481 ns
delta: 216761838 ns
delta: 219530838 ns
delta: 218154446 ns
delta: 218670590 ns
delta: 218039487 ns
delta: 218223002 ns
delta: 218626067 ns
delta: 219895462 ns
delta: 219365070 ns
delta: 219426734 ns
delta: 219385606 ns
delta: 217776658 ns
delta: 216059431 ns
delta: 221590218 ns
delta: 218258571 ns
delta: 220387652 ns
delta: 218717868 ns
delta: 218192709 ns
delta: 218500513 ns
delta: 217456528 ns
delta: 218243105 ns
delta: 218758329 ns
delta: 219128764 ns
delta: 217506673 ns
delta: 216606621 ns
delta: 216954487 ns
delta: 218243492 ns
delta: 217909380 ns
delta: 220585876 ns
delta: 217950171 ns
delta: 217345770 ns
delta: 219016213 ns
delta: 221403783 ns
delta: 220816835 ns
delta: 220589419 ns
delta: 220721992 ns
delta: 221015486 ns
delta: 220684217 ns
delta: 221322628 ns
delta: 220808117 ns
delta: 220857248 ns
delta: 220378246 ns
delta: 220088774 ns
delta: 221004851 ns
delta: 220803762 ns
delta: 220649793 ns
delta: 220734910 ns
delta: 221455182 ns
delta: 220925898 ns
delta: 219968279 ns
delta: 220598339 ns
delta: 221259058 ns
delta: 219971409 ns
delta: 220994759 ns
delta: 220451236 ns
delta: 221065883 ns
delta: 220677873 ns
delta: 220165190 ns
delta: 220143079 ns
delta: 220178371 ns
delta: 220735340 ns
delta: 220767188 ns
delta: 220138955 ns
delta: 220092668 ns
delta: 220833979 ns
delta: 220538529 ns
delta: 220743002 ns
delta: 220552373 ns
delta: 220924574 ns
delta: 221402648 ns
delta: 220708317 ns
delta: 221186198 ns
delta: 219338004 ns
delta: 221278646 ns
delta: 220813726 ns
delta: 220996581 ns
delta: 220473477 ns
